点位编号,经度,纬度,发现时间,人员编号
D00,118.3765,31.2352,2020-11-02 08:14:59.753165,P0028
D00,118.3765,31.2352,2020-11-02 08:15:06.342277,P0035
D00,118.3765,31.2352,2020-11-02 08:15:12.339443,P0095
D00,118.3765,31.2352,2020-11-02 08:15:13.290632,P0018
D00,118.3765,31.2352,2020-11-02 08:15:16.477136,P0096
D00,118.3765,31.2352,2020-11-02 08:15:19.082933,P0040
D00,118.3765,31.2352,2020-11-02 08:15:22.349633,P0058
D00,118.3765,31.2352,2020-11-02 08:15:22.385602,P0098
D00,118.3765,31.2352,2020-11-02 08:15:22.761774,P0093
D00,118.3765,31.2352,2020-11-02 08:15:38.693858,P0054
D00,118.3765,31.2352,2020-11-02 08:15:41.174083,P0015
D00,118.3765,31.2352,2020-11-02 08:15:46.398586,P0086
D00,118.3765,31.2352,2020-11-02 08:15:55.203462,P0029
D00,118.3765,31.2352,2020-11-02 08:15:59.487975,P0061
D00,118.3765,31.2352,2020-11-02 08:16:02.439778,P0097
D00,118.3765,31.2352,2020-11-02 08:16:02.568607,P0087
D00,118.3765,31.2352,2020-11-02 08:16:17.719967,P0063
D00,118.3765,31.2352,2020-11-02 08:16:19.217776,P0062
D00,118.3765,31.2352,2020-11-02 08:16:30.117975,P0024
D00,118.3765,31.2352,2020-11-02 08:16:36.521464,P0030
D00,118.3765,31.2352,2020-11-02 08:16:41.400914,P0055
D00,118.3765,31.2352,2020-11-02 08:16:58.731846,P0091
D00,118.3765,31.2352,2020-11-02 08:17:00.256595,P0011
D00,118.3765,31.2352,2020-11-02 08:17:02.486785,P0085
D00,118.3765,31.2352,2020-11-02 08:17:03.528562,P0066
D00,118.3765,31.2352,2020-11-02 08:17:05.705624,P0033
D00,118.3765,31.2352,2020-11-02 08:17:06.484226,P0076
D00,118.3765,31.2352,2020-11-02 08:17:15.700970,P0067
D00,118.3765,31.2352,2020-11-02 08:17:16.565087,P0071
D00,118.3765,31.2352,2020-11-02 08:17:17.541134,P0034
D00,118.3765,31.2352,2020-11-02 08:17:19.923705,P0084
D00,118.3765,31.2352,2020-11-02 08:17:22.429181,P0083
D00,118.3765,31.2352,2020-11-02 08:17:32.302740,P0080
D00,118.3765,31.2352,2020-11-02 08:17:49.436358,P0068
D00,118.3765,31.2352,2020-11-02 08:17:50.266385,P0013
D00,118.3765,31.2352,2020-11-02 08:17:55.028018,P0078
D00,118.3765,31.2352,2020-11-02 08:17:58.555361,P0002
D00,118.3765,31.2352,2020-11-02 08:18:00.876066,P0017
D00,118.3765,31.2352,2020-11-02 08:18:06.913103,P0025
D00,118.3765,31.2352,2020-11-02 08:18:13.597877,P0057
D00,118.3765,31.2352,2020-11-02 08:18:19.047296,P0036
D00,118.3765,31.2352,2020-11-02 08:19:00.329746,P0021
D00,118.3765,31.2352,2020-11-02 08:19:13.124303,P0027
D00,118.3765,31.2352,2020-11-02 08:19:21.395672,P0020
D00,118.3765,31.2352,2020-11-02 08:19:42.478414,P0092
D00,118.3765,31.2352,2020-11-02 08:19:44.919758,P0074
D00,118.3765,31.2352,2020-11-02 08:43:06.328816,P1552
D00,118.3765,31.2352,2020-11-02 08:43:26.877122,P1097
D00,118.3765,31.2352,2020-11-02 08:44:40.615801,P1527
D00,118.3765,31.2352,2020-11-02 08:45:58.620606,P1421
D00,118.3765,31.2352,2020-11-02 08:46:04.250138,P1302
D00,118.3765,31.2352,2020-11-02 08:46:33.207907,P0629
D00,118.3765,31.2352,2020-11-02 08:46:44.372085,P0942
D00,118.3765,31.2352,2020-11-02 08:46:59.662703,P0855
D00,118.3765,31.2352,2020-11-02 08:47:05.931034,P0863
D00,118.3765,31.2352,2020-11-02 08:47:36.008103,P1054
D00,118.3765,31.2352,2020-11-02 08:47:43.724024,P0557
D00,118.3765,31.2352,2020-11-02 08:47:45.750374,P1580
D00,118.3765,31.2352,2020-11-02 08:48:15.805152,P0926
D00,118.3765,31.2352,2020-11-02 08:48:27.560242,P1052
D00,118.3765,31.2352,2020-11-02 08:48:27.800073,P0980
D00,118.3765,31.2352,2020-11-02 08:48:30.565557,P0783
D00,118.3765,31.2352,2020-11-02 08:48:48.164317,P0840
D00,118.3765,31.2352,2020-11-02 08:48:48.603044,P0698
D00,118.3765,31.2352,2020-11-02 08:48:52.778859,P1148
D00,118.3765,31.2352,2020-11-02 08:48:53.228648,P0798
D00,118.3765,31.2352,2020-11-02 08:49:02.184607,P0430
D00,118.3765,31.2352,2020-11-02 08:49:07.841077,P1069
D00,118.3765,31.2352,2020-11-02 08:49:10.914937,P1584
D00,118.3765,31.2352,2020-11-02 08:49:14.290529,P1404
D00,118.3765,31.2352,2020-11-02 08:49:19.984888,P0816
D00,118.3765,31.2352,2020-11-02 08:49:31.682745,P1076
D00,118.3765,31.2352,2020-11-02 08:49:37.034208,P0571
D00,118.3765,31.2352,2020-11-02 08:49:54.470786,P0772
D00,118.3765,31.2352,2020-11-02 08:49:56.027212,P0975
D00,118.3765,31.2352,2020-11-02 08:50:06.595008,P0719
D00,118.3765,31.2352,2020-11-02 08:50:11.823045,P1167
D00,118.3765,31.2352,2020-11-02 08:50:13.521633,P1049
D00,118.3765,31.2352,2020-11-02 08:50:22.794411,P0432
D00,118.3765,31.2352,2020-11-02 08:50:34.983867,P1575
D00,118.3765,31.2352,2020-11-02 08:50:49.767921,P0957
D00,118.3765,31.2352,2020-11-02 08:50:56.363912,P1089
D00,118.3765,31.2352,2020-11-02 08:50:59.227602,P1321
D00,118.3765,31.2352,2020-11-02 08:51:00.597231,P0795
D00,118.3765,31.2352,2020-11-02 08:51:01.005766,P0656
D00,118.3765,31.2352,2020-11-02 08:51:10.387333,P1565
D00,118.3765,31.2352,2020-11-02 08:51:36.850701,P1070
D00,118.3765,31.2352,2020-11-02 08:51:45.432000,P1366
D00,118.3765,31.2352,2020-11-02 08:51:45.703909,P1481
D00,118.3765,31.2352,2020-11-02 08:51:49.547402,P1036
D00,118.3765,31.2352,2020-11-02 08:51:50.583232,P0414
D00,118.3765,31.2352,2020-11-02 08:51:51.921453,P1318
D00,118.3765,31.2352,2020-11-02 08:51:56.610664,P1296
D00,118.3765,31.2352,2020-11-02 08:52:08.507983,P1184
D00,118.3765,31.2352,2020-11-02 08:52:09.211926,P1307
D00,118.3765,31.2352,2020-11-02 08:52:10.313144,P1432
D00,118.3765,31.2352,2020-11-02 08:52:12.031800,P0833
D00,118.3765,31.2352,2020-11-02 08:52:21.287902,P1062
D00,118.3765,31.2352,2020-11-02 08:52:22.291535,P0540
D00,118.3765,31.2352,2020-11-02 08:52:23.042768,P0998
D00,118.3765,31.2352,2020-11-02 08:52:23.320366,P1157
D00,118.3765,31.2352,2020-11-02 08:52:23.862570,P0857
D00,118.3765,31.2352,2020-11-02 08:52:23.987815,P0886
D00,118.3765,31.2352,2020-11-02 08:52:28.835180,P1571
D00,118.3765,31.2352,2020-11-02 08:52:30.183440,P1188
D00,118.3765,31.2352,2020-11-02 08:52:30.456716,P1064
D00,118.3765,31.2352,2020-11-02 08:52:37.265556,P1515
D00,118.3765,31.2352,2020-11-02 08:52:37.918752,P1239
D00,118.3765,31.2352,2020-11-02 08:52:40.157985,P1375
D00,118.3765,31.2352,2020-11-02 08:52:43.144211,P0437
D00,118.3765,31.2352,2020-11-02 08:52:47.991740,P1554
D00,118.3765,31.2352,2020-11-02 08:52:49.545189,P0523
D00,118.3765,31.2352,2020-11-02 08:52:56.524093,P0770
D00,118.3765,31.2352,2020-11-02 08:53:02.758748,P0982
D00,118.3765,31.2352,2020-11-02 08:53:03.797135,P1418
D00,118.3765,31.2352,2020-11-02 08:53:03.853651,P0983
D00,118.3765,31.2352,2020-11-02 08:53:08.209236,P0930
D00,118.3765,31.2352,2020-11-02 08:53:15.354011,P1586
D00,118.3765,31.2352,2020-11-02 08:53:15.495659,P1068
D00,118.3765,31.2352,2020-11-02 08:53:16.966751,P1124
D00,118.3765,31.2352,2020-11-02 08:53:17.596714,P1388
D00,118.3765,31.2352,2020-11-02 08:53:19.210495,P0410
D00,118.3765,31.2352,2020-11-02 08:53:20.544869,P1460
D00,118.3765,31.2352,2020-11-02 08:53:25.720117,P1541
D00,118.3765,31.2352,2020-11-02 08:53:26.329676,P1136
D00,118.3765,31.2352,2020-11-02 08:53:30.118879,P1485
D00,118.3765,31.2352,2020-11-02 08:53:31.889757,P0417
D00,118.3765,31.2352,2020-11-02 08:53:32.627712,P0654
D00,118.3765,31.2352,2020-11-02 08:53:35.012508,P0664
D00,118.3765,31.2352,2020-11-02 08:53:41.787016,P0907
D00,118.3765,31.2352,2020-11-02 08:53:44.394777,P1303
D00,118.3765,31.2352,2020-11-02 08:53:44.579930,P1317
D00,118.3765,31.2352,2020-11-02 08:53:45.228796,P0686
D00,118.3765,31.2352,2020-11-02 08:53:45.746489,P1278
D00,118.3765,31.2352,2020-11-02 08:53:49.759067,P1396
D00,118.3765,31.2352,2020-11-02 08:53:56.922444,P0718
D00,118.3765,31.2352,2020-11-02 08:53:59.898261,P1369
D00,118.3765,31.2352,2020-11-02 08:54:06.143349,P1084
D00,118.3765,31.2352,2020-11-02 08:54:06.263231,P0860
D00,118.3765,31.2352,2020-11-02 08:54:07.411097,P0811
D00,118.3765,31.2352,2020-11-02 08:54:08.900877,P0927
D00,118.3765,31.2352,2020-11-02 08:54:09.332575,P1127
D00,118.3765,31.2352,2020-11-02 08:54:10.442670,P1313
D00,118.3765,31.2352,2020-11-02 08:54:10.724483,P1384
D00,118.3765,31.2352,2020-11-02 08:54:12.942835,P1152
D00,118.3765,31.2352,2020-11-02 08:54:12.992064,P0416
D00,118.3765,31.2352,2020-11-02 08:54:13.972555,P0431
D00,118.3765,31.2352,2020-11-02 08:54:15.620178,P0543
D00,118.3765,31.2352,2020-11-02 08:54:20.152621,P0733
D00,118.3765,31.2352,2020-11-02 08:54:26.641177,P1535
D00,118.3765,31.2352,2020-11-02 08:54:28.413487,P1437
D00,118.3765,31.2352,2020-11-02 08:54:29.647710,P0424
D00,118.3765,31.2352,2020-11-02 08:54:33.055476,P0554
D00,118.3765,31.2352,2020-11-02 08:54:35.080366,P1312
D00,118.3765,31.2352,2020-11-02 08:54:36.432387,P0550
D00,118.3765,31.2352,2020-11-02 08:54:38.674825,P1147
D00,118.3765,31.2352,2020-11-02 08:54:39.544889,P1426
D00,118.3765,31.2352,2020-11-02 08:54:39.613969,P0843
D00,118.3765,31.2352,2020-11-02 08:54:40.769601,P0458
D00,118.3765,31.2352,2020-11-02 08:54:41.074210,P0956
D00,118.3765,31.2352,2020-11-02 08:54:44.615254,P1241
D00,118.3765,31.2352,2020-11-02 08:54:45.350751,P0638
D00,118.3765,31.2352,2020-11-02 08:54:46.961437,P0545
D00,118.3765,31.2352,2020-11-02 08:54:47.725247,P1060
D00,118.3765,31.2352,2020-11-02 08:54:48.518722,P1003
D00,118.3765,31.2352,2020-11-02 08:54:49.941481,P0465
D00,118.3765,31.2352,2020-11-02 08:54:49.978216,P1398
D00,118.3765,31.2352,2020-11-02 08:54:51.143728,P0521
D00,118.3765,31.2352,2020-11-02 08:54:52.093835,P1308
D00,118.3765,31.2352,2020-11-02 08:54:54.164011,P1079
D00,118.3765,31.2352,2020-11-02 08:54:54.439734,P0919
D00,118.3765,31.2352,2020-11-02 08:54:55.455921,P0723
D00,118.3765,31.2352,2020-11-02 08:54:56.072650,P0642
D00,118.3765,31.2352,2020-11-02 08:54:57.647958,P0894
D00,118.3765,31.2352,2020-11-02 08:54:58.174695,P0912
D00,118.3765,31.2352,2020-11-02 08:55:00.012230,P0666
D00,118.3765,31.2352,2020-11-02 08:55:00.565733,P0987
D00,118.3765,31.2352,2020-11-02 08:55:03.733157,P1225
D00,118.3765,31.2352,2020-11-02 08:55:05.008003,P0761
D00,118.3765,31.2352,2020-11-02 08:55:09.045256,P1528
D00,118.3765,31.2352,2020-11-02 08:55:09.357048,P1479
D00,118.3765,31.2352,2020-11-02 08:55:10.198858,P0929
D00,118.3765,31.2352,2020-11-02 08:55:10.960239,P1456
D00,118.3765,31.2352,2020-11-02 08:55:12.777811,P1197
D00,118.3765,31.2352,2020-11-02 08:55:12.900436,P0607
D00,118.3765,31.2352,2020-11-02 08:55:14.649757,P0517
D00,118.3765,31.2352,2020-11-02 08:55:16.470178,P1201
D00,118.3765,31.2352,2020-11-02 08:55:19.137128,P0990
D00,118.3765,31.2352,2020-11-02 08:55:19.537534,P1247
D00,118.3765,31.2352,2020-11-02 08:55:20.527670,P0703
D00,118.3765,31.2352,2020-11-02 08:55:20.894697,P1233
D00,118.3765,31.2352,2020-11-02 08:55:25.593432,P0722
D00,118.3765,31.2352,2020-11-02 08:55:25.662366,P1495
D00,118.3765,31.2352,2020-11-02 08:55:26.379249,P1377
D00,118.3765,31.2352,2020-11-02 08:55:27.541496,P1117
D00,118.3765,31.2352,2020-11-02 08:55:30.703102,P1035
D00,118.3765,31.2352,2020-11-02 08:55:32.111126,P1073
D00,118.3765,31.2352,2020-11-02 08:55:32.232291,P0901
D00,118.3765,31.2352,2020-11-02 08:55:32.264438,P1109
D00,118.3765,31.2352,2020-11-02 08:55:32.753319,P1263
D00,118.3765,31.2352,2020-11-02 08:55:33.787149,P1409
D00,118.3765,31.2352,2020-11-02 08:55:34.027853,P0588
D00,118.3765,31.2352,2020-11-02 08:55:34.647897,P0484
D00,118.3765,31.2352,2020-11-02 08:55:35.472721,P1112
D00,118.3765,31.2352,2020-11-02 08:55:37.083102,P1085
D00,118.3765,31.2352,2020-11-02 08:55:38.796063,P0687
D00,118.3765,31.2352,2020-11-02 08:55:40.831464,P0533
D00,118.3765,31.2352,2020-11-02 08:55:42.651023,P0711
D00,118.3765,31.2352,2020-11-02 08:55:42.949763,P1125
D00,118.3765,31.2352,2020-11-02 08:55:43.851543,P1488
D00,118.3765,31.2352,2020-11-02 08:55:46.421865,P0944
D00,118.3765,31.2352,2020-11-02 08:55:47.092677,P0596
D00,118.3765,31.2352,2020-11-02 08:55:47.944831,P0775
D00,118.3765,31.2352,2020-11-02 08:55:48.029952,P0875
D00,118.3765,31.2352,2020-11-02 08:55:48.575171,P0736
D00,118.3765,31.2352,2020-11-02 08:55:49.095559,P1500
D00,118.3765,31.2352,2020-11-02 08:55:50.341202,P1114
D00,118.3765,31.2352,2020-11-02 08:55:50.867614,P1455
D00,118.3765,31.2352,2020-11-02 08:55:51.175507,P0541
D00,118.3765,31.2352,2020-11-02 08:55:52.325233,P0753
D00,118.3765,31.2352,2020-11-02 08:55:55.691828,P1531
D00,118.3765,31.2352,2020-11-02 08:55:55.834765,P0890
D00,118.3765,31.2352,2020-11-02 08:55:55.914061,P1543
D00,118.3765,31.2352,2020-11-02 08:55:56.027978,P1014
D00,118.3765,31.2352,2020-11-02 08:55:57.462407,P1521
D00,118.3765,31.2352,2020-11-02 08:56:05.254939,P1001
D00,118.3765,31.2352,2020-11-02 08:56:06.232168,P1416
D00,118.3765,31.2352,2020-11-02 08:56:07.798883,P0614
D00,118.3765,31.2352,2020-11-02 08:56:10.709684,P0568
D00,118.3765,31.2352,2020-11-02 08:56:11.403830,P1246
D00,118.3765,31.2352,2020-11-02 08:56:11.516727,P0727
D00,118.3765,31.2352,2020-11-02 08:56:14.300495,P1130
D00,118.3765,31.2352,2020-11-02 08:56:14.838616,P1538
D00,118.3765,31.2352,2020-11-02 08:56:18.616520,P0609
D00,118.3765,31.2352,2020-11-02 08:56:19.929207,P0823
D00,118.3765,31.2352,2020-11-02 08:56:21.322703,P1539
D00,118.3765,31.2352,2020-11-02 08:56:23.377690,P1222
D00,118.3765,31.2352,2020-11-02 08:56:23.640111,P0657
D00,118.3765,31.2352,2020-11-02 08:56:23.930616,P0576
D00,118.3765,31.2352,2020-11-02 08:56:24.009374,P1457
D00,118.3765,31.2352,2020-11-02 08:56:24.058517,P0567
D00,118.3765,31.2352,2020-11-02 08:56:25.503534,P0799
D00,118.3765,31.2352,2020-11-02 08:56:26.440735,P0691
D00,118.3765,31.2352,2020-11-02 08:56:28.062854,P0709
D00,118.3765,31.2352,2020-11-02 08:56:30.779563,P1106
D00,118.3765,31.2352,2020-11-02 08:56:33.052564,P1160
D00,118.3765,31.2352,2020-11-02 08:56:37.047695,P0988
D00,118.3765,31.2352,2020-11-02 08:56:37.624243,P1047
D00,118.3765,31.2352,2020-11-02 08:56:41.716985,P0699
D00,118.3765,31.2352,2020-11-02 08:56:43.514259,P1163
D00,118.3765,31.2352,2020-11-02 08:56:43.837596,P0789
D00,118.3765,31.2352,2020-11-02 08:56:44.389451,P1038
D00,118.3765,31.2352,2020-11-02 08:56:44.882950,P1132
D00,118.3765,31.2352,2020-11-02 08:56:45.894794,P1213
D00,118.3765,31.2352,2020-11-02 08:56:53.701381,P1427
D00,118.3765,31.2352,2020-11-02 08:56:53.839839,P1061
D00,118.3765,31.2352,2020-11-02 08:56:57.182521,P0624
D00,118.3765,31.2352,2020-11-02 08:56:57.618273,P1228
D00,118.3765,31.2352,2020-11-02 08:56:59.239873,P1874
D00,118.3765,31.2352,2020-11-02 08:56:59.534437,P0573
D00,118.3765,31.2352,2020-11-02 08:57:03.958944,P1508
D00,118.3765,31.2352,2020-11-02 08:57:04.273393,P1146
D00,118.3765,31.2352,2020-11-02 08:57:04.492053,P0936
D00,118.3765,31.2352,2020-11-02 08:57:05.719255,P1405
D00,118.3765,31.2352,2020-11-02 08:57:05.875694,P0613
D00,118.3765,31.2352,2020-11-02 08:57:06.475187,P1472
D00,118.3765,31.2352,2020-11-02 08:57:07.747707,P1175
D00,118.3765,31.2352,2020-11-02 08:57:08.264017,P0551
D00,118.3765,31.2352,2020-11-02 08:57:08.920321,P0529
D00,118.3765,31.2352,2020-11-02 08:57:09.157092,P1028
D00,118.3765,31.2352,2020-11-02 08:57:10.126572,P1401
D00,118.3765,31.2352,2020-11-02 08:57:10.544764,P1480
D00,118.3765,31.2352,2020-11-02 08:57:13.668870,P0436
D00,118.3765,31.2352,2020-11-02 08:57:14.144047,P1126
D00,118.3765,31.2352,2020-11-02 08:57:16.033938,P0910
D00,118.3765,31.2352,2020-11-02 08:57:24.575999,P0746
D00,118.3765,31.2352,2020-11-02 08:57:26.279206,P0848
D00,118.3765,31.2352,2020-11-02 08:57:26.634452,P0602
D00,118.3765,31.2352,2020-11-02 08:57:29.465518,P0712
D00,118.3765,31.2352,2020-11-02 08:57:29.791753,P0959
D00,118.3765,31.2352,2020-11-02 08:57:29.821015,P1271
D00,118.3765,31.2352,2020-11-02 08:57:31.151848,P0406
D00,118.3765,31.2352,2020-11-02 08:57:33.606763,P1486
D00,118.3765,31.2352,2020-11-02 08:57:35.934454,P0525
D00,118.3765,31.2352,2020-11-02 08:57:39.596265,P1256
D00,118.3765,31.2352,2020-11-02 08:57:40.169837,P0870
D00,118.3765,31.2352,2020-11-02 08:57:40.227251,P0472
D00,118.3765,31.2352,2020-11-02 08:57:42.140449,P0780
D00,118.3765,31.2352,2020-11-02 08:57:47.281277,P1529
D00,118.3765,31.2352,2020-11-02 08:57:47.462317,P0997
D00,118.3765,31.2352,2020-11-02 08:57:47.579983,P1082
D00,118.3765,31.2352,2020-11-02 08:57:49.404753,P0895
D00,118.3765,31.2352,2020-11-02 08:57:50.867854,P1326
D00,118.3765,31.2352,2020-11-02 08:57:51.538191,P1408
D00,118.3765,31.2352,2020-11-02 08:57:55.009304,P1576
D00,118.3765,31.2352,2020-11-02 08:57:56.106508,P1540
D00,118.3765,31.2352,2020-11-02 08:57:56.125536,P0401
D00,118.3765,31.2352,2020-11-02 08:57:57.332471,P0922
D00,118.3765,31.2352,2020-11-02 08:58:00.601948,P0896
D00,118.3765,31.2352,2020-11-02 08:58:00.724817,P1211
D00,118.3765,31.2352,2020-11-02 08:58:00.791206,P0647
D00,118.3765,31.2352,2020-11-02 08:58:01.744896,P1216
D00,118.3765,31.2352,2020-11-02 08:58:02.003777,P0531
D00,118.3765,31.2352,2020-11-02 08:58:02.122041,P1260
D00,118.3765,31.2352,2020-11-02 08:58:06.303208,P0453
D00,118.3765,31.2352,2020-11-02 08:58:11.680443,P0684
D00,118.3765,31.2352,2020-11-02 08:58:11.935184,P1275
D00,118.3765,31.2352,2020-11-02 08:58:12.212502,P0807
D00,118.3765,31.2352,2020-11-02 08:58:12.441039,P0450
D00,118.3765,31.2352,2020-11-02 08:58:13.143248,P0749
D00,118.3765,31.2352,2020-11-02 08:58:13.260539,P0449
D00,118.3765,31.2352,2020-11-02 08:58:14.098599,P1322
D00,118.3765,31.2352,2020-11-02 08:58:14.780617,P1072
D00,118.3765,31.2352,2020-11-02 08:58:17.084641,P1258
D00,118.3765,31.2352,2020-11-02 08:58:22.523657,P0676
D00,118.3765,31.2352,2020-11-02 08:58:22.944186,P0850
D00,118.3765,31.2352,2020-11-02 08:58:23.355578,P1156
D00,118.3765,31.2352,2020-11-02 08:58:23.459837,P1544
D00,118.3765,31.2352,2020-11-02 08:58:25.854593,P1000
D00,118.3765,31.2352,2020-11-02 08:58:26.591709,P0630
D00,118.3765,31.2352,2020-11-02 08:58:28.160575,P1100
D00,118.3765,31.2352,2020-11-02 08:58:30.381208,P0845
D00,118.3765,31.2352,2020-11-02 08:58:30.821229,P1548
D00,118.3765,31.2352,2020-11-02 08:58:32.875970,P1305
D00,118.3765,31.2352,2020-11-02 08:58:33.021568,P1133
D00,118.3765,31.2352,2020-11-02 08:58:33.114105,P0934
D00,118.3765,31.2352,2020-11-02 08:58:34.476359,P1198
D00,118.3765,31.2352,2020-11-02 08:58:35.241460,P1287
D00,118.3765,31.2352,2020-11-02 08:58:35.763551,P0513
D00,118.3765,31.2352,2020-11-02 08:58:36.852036,P0905
D00,118.3765,31.2352,2020-11-02 08:58:38.379955,P0861
D00,118.3765,31.2352,2020-11-02 08:58:38.401873,P0544
D00,118.3765,31.2352,2020-11-02 08:58:38.498626,P1478
D00,118.3765,31.2352,2020-11-02 08:58:38.570955,P1389
D00,118.3765,31.2352,2020-11-02 08:58:40.735750,P0744
D00,118.3765,31.2352,2020-11-02 08:58:42.176413,P1509
D00,118.3765,31.2352,2020-11-02 08:58:42.832545,P0438
D00,118.3765,31.2352,2020-11-02 08:58:43.705498,P0595
D00,118.3765,31.2352,2020-11-02 08:58:47.790946,P1281
D00,118.3765,31.2352,2020-11-02 08:58:49.877199,P0977
D00,118.3765,31.2352,2020-11-02 08:58:51.359703,P0677
D00,118.3765,31.2352,2020-11-02 08:58:52.887262,P0972
D00,118.3765,31.2352,2020-11-02 08:58:52.969862,P0729
D00,118.3765,31.2352,2020-11-02 08:58:53.050304,P0871
D00,118.3765,31.2352,2020-11-02 08:58:53.778818,P0572
D00,118.3765,31.2352,2020-11-02 08:58:58.282738,P0792
D00,118.3765,31.2352,2020-11-02 08:58:58.804960,P0462
D00,118.3765,31.2352,2020-11-02 08:58:58.997054,P1534
D00,118.3765,31.2352,2020-11-02 08:59:02.735598,P1367
D00,118.3765,31.2352,2020-11-02 08:59:02.896338,P0839
D00,118.3765,31.2352,2020-11-02 08:59:02.939458,P0622
D00,118.3765,31.2352,2020-11-02 08:59:02.984507,P1315
D00,118.3765,31.2352,2020-11-02 08:59:03.537466,P0648
D00,118.3765,31.2352,2020-11-02 08:59:06.611970,P1328
D00,118.3765,31.2352,2020-11-02 08:59:08.268643,P0941
D00,118.3765,31.2352,2020-11-02 08:59:08.625400,P0764
D00,118.3765,31.2352,2020-11-02 08:59:09.290462,P1390
D00,118.3765,31.2352,2020-11-02 08:59:11.316254,P0771
D00,118.3765,31.2352,2020-11-02 08:59:13.409836,P1282
D00,118.3765,31.2352,2020-11-02 08:59:13.427370,P1288
D00,118.3765,31.2352,2020-11-02 08:59:13.545015,P0838
D00,118.3765,31.2352,2020-11-02 08:59:14.063822,P1447
D00,118.3765,31.2352,2020-11-02 08:59:17.709641,P0849
D00,118.3765,31.2352,2020-11-02 08:59:18.279152,P0566
D00,118.3765,31.2352,2020-11-02 08:59:20.026026,P0868
D00,118.3765,31.2352,2020-11-02 08:59:20.375494,P1420
D00,118.3765,31.2352,2020-11-02 08:59:20.786018,P0858
D00,118.3765,31.2352,2020-11-02 08:59:20.888269,P0785
D00,118.3765,31.2352,2020-11-02 08:59:21.053956,P1334
D00,118.3765,31.2352,2020-11-02 08:59:23.212725,P0625
D00,118.3765,31.2352,2020-11-02 08:59:23.819862,P0474
D00,118.3765,31.2352,2020-11-02 08:59:24.487107,P1360
D00,118.3765,31.2352,2020-11-02 08:59:27.065190,P1324
D00,118.3765,31.2352,2020-11-02 08:59:27.228724,P0412
D00,118.3765,31.2352,2020-11-02 08:59:28.462954,P1295
D00,118.3765,31.2352,2020-11-02 08:59:28.931547,P1071
D00,118.3765,31.2352,2020-11-02 08:59:30.500523,P0945
D00,118.3765,31.2352,2020-11-02 08:59:32.108384,P1525
D00,118.3765,31.2352,2020-11-02 08:59:32.573985,P1202
D00,118.3765,31.2352,2020-11-02 08:59:32.666287,P0787
D00,118.3765,31.2352,2020-11-02 08:59:35.347180,P0669
D00,118.3765,31.2352,2020-11-02 08:59:36.243403,P1468
D00,118.3765,31.2352,2020-11-02 08:59:36.515720,P0752
D00,118.3765,31.2352,2020-11-02 08:59:37.504411,P1524
D00,118.3765,31.2352,2020-11-02 08:59:39.071021,P1333
D00,118.3765,31.2352,2020-11-02 08:59:39.818020,P0592
D00,118.3765,31.2352,2020-11-02 08:59:41.052879,P0881
D00,118.3765,31.2352,2020-11-02 08:59:41.840050,P1363
D00,118.3765,31.2352,2020-11-02 08:59:45.361614,P0662
D00,118.3765,31.2352,2020-11-02 08:59:45.674468,P1283
D00,118.3765,31.2352,2020-11-02 08:59:48.353358,P0597
